title;url;price;km;year;cubicCapacity;mainProvince;fuelType;bodyTypeId;warranty_id;warranty_months;isProfessional;publishedDate;hasUrge;phone;environmentalLabel;drivenWheelsId;transmissionTypeId
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-barcelona-57447420-covo.aspx;23490;47000;2019;1984;Barcelona;Gasolina;1;2;12;True;2024-03-25T09:32:38Z;False;919035657;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-barcelona-57447420-covo.aspx;23490;47000;2019;1984;Barcelona;Gasolina;1;2;12;True;2024-03-25T09:32:38Z;False;919035657;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-baleares-56916004-covo.aspx;23500;28000;2019;1984;Baleares;Gasolina;1;None;None;False;2024-01-18T13:06:45Z;False;;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-baleares-56916004-covo.aspx;23500;28000;2019;1984;Baleares;Gasolina;1;None;None;False;2024-01-18T13:06:45Z;False;;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-madrid-57080287-covo.aspx;23900;11000;2019;1984;Madrid;Gasolina;1;2;12;True;2024-03-19T17:55:38Z;False;648657906;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-valencia-57383714-covo.aspx;23900;39760;2019;1984;Valencia;Gasolina;1;2;12;True;2024-03-15T18:54:57Z;False;963052325;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-barcelona-57401279-covo.aspx;23900;39760;2019;1984;Barcelona;Gasolina;1;2;12;True;2024-03-18T19:41:17Z;False;935958535;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-girona-57226360-covo.aspx;23900;39760;2019;1984;Girona;Gasolina;1;2;12;True;2024-03-19T17:12:38Z;False;872221240;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-madrid-57080287-covo.aspx;23900;11000;2019;1984;Madrid;Gasolina;1;2;12;True;2024-03-19T17:55:38Z;False;648657906;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-girona-57226360-covo.aspx;23900;39760;2019;1984;Girona;Gasolina;1;2;12;True;2024-03-19T17:12:38Z;False;872221240;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-valencia-57383714-covo.aspx;23900;39760;2019;1984;Valencia;Gasolina;1;2;12;True;2024-03-15T18:54:57Z;False;963052325;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2019-en-barcelona-57401279-covo.aspx;23900;39760;2019;1984;Barcelona;Gasolina;1;2;12;True;2024-03-18T19:41:17Z;False;935958535;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-56737656-covo.aspx;24650;37000;2020;1984;Madrid;Gasolina;1;4;24;True;2024-03-22T22:02:37Z;False;911672165;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-56737656-covo.aspx;24650;37000;2020;1984;Madrid;Gasolina;1;4;24;True;2024-03-22T22:02:37Z;False;911672165;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-57132736-covo.aspx;24900;37000;2020;1984;Madrid;Gasolina;1;2;12;True;2024-02-14T00:56:20Z;False;650572648;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-57132736-covo.aspx;24900;37000;2020;1984;Madrid;Gasolina;1;2;12;True;2024-02-14T00:56:20Z;False;650572648;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-sevilla-57292212-covo.aspx;25600;9800;2020;1984;Sevilla;Gasolina;1;None;None;False;2024-03-04T21:14:27Z;False;625771717;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-sevilla-57292212-covo.aspx;25600;9800;2020;1984;Sevilla;Gasolina;1;None;None;False;2024-03-04T21:14:27Z;False;625771717;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-malaga-57356120-covo.aspx;26000;28000;2020;1984;Málaga;Gasolina;1;None;None;False;2024-03-12T19:33:09Z;False;;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-malaga-57356120-covo.aspx;26000;28000;2020;1984;Málaga;Gasolina;1;None;None;False;2024-03-12T19:33:09Z;False;;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-barcelona-57301657-covo.aspx;27990;22000;2020;1984;Barcelona;Gasolina;1;2;12;True;2024-03-05T20:55:20Z;False;722134817;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-barcelona-57301657-covo.aspx;27990;22000;2020;1984;Barcelona;Gasolina;1;2;12;True;2024-03-05T20:55:20Z;False;722134817;C;3;1
